title,location,price,room_size_sqm,listing_date,cam_free_per_month,property_type,is_finish_construct,constructed_year,bedrooms,bathrooms,no_floors,balcony_view,room_furniture,estimate_rent_per_month,url
3 Bedroom Condo for sale at Chewathai Ratchaprarop ,"Makkasan, Ratchathewi,Bangkok",25000000,301,"Apr 27, 2023",10535,Condo,Completed,Dec 2009,3,2,25,"City View, Pool View",Unfurnished,10535,https://www.fazwaz.com/property-sales/3-bedroom-condo-for-sale-at-chewathai-ratchaprarop-in-makkasan-bangkok-u1400754
1 Bedroom Condo for sale at Esta Bliss Condo ,"Min Buri, Min Buri,Bangkok",1490000,23,"Apr 27, 2023",1150,Condo,Completed,Dec 2016,1,1,7,City View,Fully Furnished,7500,https://www.fazwaz.com/property-sales/1-bedroom-condo-for-sale-at-esta-bliss-condo-in-min-buri-bangkok-u1397290
1 Bedroom Condo for sale at The Fine Bangkok Thonglor-Ekamai ,"Khlong Tan Nuea, Watthana,Bangkok",7940000,38,"Apr 27, 2023",1900,Condo,Completed,Oct 2020,1,1,26,Unblocked Open View,Unfurnished,25100,https://www.fazwaz.com/property-sales/1-bedroom-condo-for-sale-at-the-fine-bangkok-thonglor-ekamai-in-khlong-tan-nuea-bangkok-u1400334
1 Bedroom Condo for sale at Klass Silom Condo ,"Si Lom, Bang Rak,Bangkok",5000000,33,"Apr 27, 2023",1980,Condo,Completed,Dec 2013,1,1,1,Garden View,N/A,20900,https://www.fazwaz.com/property-sales/1-bedroom-condo-for-sale-at-klass-silom-condo-in-si-lom-bangkok-u1396176
1 Bedroom Condo for sale at Life Rama 4 - Asoke ,"Khlong Toei, Khlong Toei,Bangkok",4300000,32,"Apr 27, 2023",1600,Condo,Off Plan,Sep 2024,1,1,20,City View,Fully Furnished,1600,https://www.fazwaz.com/property-sales/1-bedroom-condo-for-sale-at-life-rama-4-asoke-in-khlong-toei-bangkok-u1400706
1 Bedroom Condo for sale at @ City Sukhumvit 101 ,"Bang Na, Bang Na,Bangkok",1700000,36,"Apr 27, 2023",1080,Condo,Completed,Dec 2008,1,1,2,Blocked View,Fully Furnished,1080,https://www.fazwaz.com/property-sales/1-bedroom-condo-for-sale-at-at-city-sukhumvit-101-in-bang-na-bangkok-u1399852
1 Bedroom Condo for sale at Plum Condo Ram 60 Interchange ,"Hua Mak, Bang Kapi,Bangkok",2350000,26,"Apr 27, 2023",1040,Condo,Completed,Dec 2018,1,1,4,"City View, Garden View",Fully Furnished,1040,https://www.fazwaz.com/property-sales/1-bedroom-condo-for-sale-at-plum-condo-ram-60-interchange-in-hua-mak-bangkok-u1400452
2 Bedroom Condo for sale at Millennium Residence ,"Khlong Toei, Khlong Toei,Bangkok",23000000,128,"Apr 27, 2023",6400,Condo,Completed,Dec 2009,2,3,33,"River or Canal View, City View",Fully Furnished,75000,https://www.fazwaz.com/property-sales/2-bedroom-condo-for-sale-at-millennium-residence-in-khlong-toei-bangkok-u1395480
2 Bedroom Condo for sale at Kensington Place ,"Thung Song Hong, Lak Si,Bangkok",5990000,127,"Apr 26, 2023",4000,Condo,Construction type is not available,Constructed year is not available,2,2,N/A,"City View, Unblocked Open View",Fully Furnished,30000,https://www.fazwaz.com/property-sales/2-bedroom-condo-for-sale-at-kensington-place-in-thung-song-hong-bangkok-u1398998
1 Bedroom Condo for sale at The Parkland Phetkasem - Thapra ,"Wat Tha Phra, Bangkok Yai,Bangkok",2600000,32,"Apr 26, 2023",1273,Condo,Completed,Jan 2016,1,1,18,"City View, Unblocked Open View",Fully Furnished,1273,https://www.fazwaz.com/property-sales/1-bedroom-condo-for-sale-at-the-parkland-phetkasem-thapra-in-wat-tha-phra-bangkok-u1399948
2 Bedroom Condo for sale at The Parkland Grand Asoke-Phetchaburi ,"Bang Kapi, Huai Khwang,Bangkok",7390000,73,"Apr 26, 2023",2555,Condo,Completed,Jan 2012,2,2,20,"Park View, City View",Fully Furnished,26000,https://www.fazwaz.com/property-sales/2-bedroom-condo-for-sale-at-the-parkland-grand-asoke-phetchaburi-in-bang-kapi-bangkok-u1396358
1 Bedroom Condo for sale at Noble Ambience Sarasin ,"Lumphini, Pathum Wan,Bangkok",7770000,50,"Apr 26, 2023",3000,Condo,Completed,Jan 2008,1,1,5,City View,Partly Furnished,29000,https://www.fazwaz.com/property-sales/1-bedroom-condo-for-sale-at-noble-ambience-sarasin-in-lumphini-bangkok-u1396206
1 Bedroom Condo for sale at Wind Ratchayothin ,"Chatuchak, Chatuchak,Bangkok",6000000,55,"Apr 26, 2023",1650,Condo,Completed,Dec 2008,1,1,17,City View,Negotiable,23500,https://www.fazwaz.com/property-sales/1-bedroom-condo-for-sale-at-wind-ratchayothin-in-chatuchak-bangkok-u1400168
2 Bedroom Condo for sale at Siamese Thirty Nine ,"Khlong Tan Nuea, Watthana,Bangkok",6400000,63,"Apr 26, 2023",3150,Condo,Completed,Dec 2013,2,2,2,Garden View,Fully Furnished,24900,https://www.fazwaz.com/property-sales/2-bedroom-condo-for-sale-at-siamese-thirty-nine-in-khlong-tan-nuea-bangkok-u1396104
1 Bedroom Condo for sale at Baan Chaopraya Condo ,"Khlong San, Khlong San,Bangkok",6700000,64.36,"Apr 26, 2023",2574,Condo,Completed,Dec 1994,1,1,20,"River or Canal View, City View, Garden View, Unblocked Open View",Fully Furnished,25600,https://www.fazwaz.com/property-sales/1-bedroom-condo-for-sale-at-baan-chaopraya-condo-in-khlong-san-bangkok-u1037300
Studio Condo for sale at Centric Sathorn - Saint Louis ,"Thung Wat Don, Sathon,Bangkok",6500000,40,"Apr 26, 2023",2600,Condo,Completed,Dec 2012,Studio,1,20,"City View, Unblocked Open View",Fully Furnished,2600,https://www.fazwaz.com/property-sales/studio-condo-for-sale-at-centric-sathorn-saint-louis-in-thung-wat-don-bangkok-u1397330
1 Bedroom Condo for sale at Aspen Condo Lasalle ,"Bang Na, Bang Na,Bangkok",1390000,24,"Apr 26, 2023",10000,Condo,Completed,Oct 2018,1,1,2,Pool View,Partly Furnished,10000,https://www.fazwaz.com/property-sales/1-bedroom-condo-for-sale-at-aspen-condo-lasalle-in-bang-na-bangkok-u1395864
1 Bedroom Condo for sale at The Seed Memories Siam ,"Wang Mai, Pathum Wan,Bangkok",5990000,41,"Apr 26, 2023",N/A,Condo,Completed,Dec 2010,1,1,7,City View,Fully Furnished,23700,https://www.fazwaz.com/property-sales/1-bedroom-condo-for-sale-at-the-seed-memories-siam-in-wang-mai-bangkok-u1400398
1 Bedroom Condo for sale at Fuse Miti Ratchada-Sutthisan ,"Din Daeng, Din Daeng,Bangkok",2575000,29,"Apr 26, 2023",N/A,Condo,Completed,Jan 2018,1,1,8,City View,Partly Furnished,12100,https://www.fazwaz.com/property-sales/1-bedroom-condo-for-sale-at-fuse-miti-ratchada-sutthisan-in-din-daeng-bangkok-u1400406
2 Bedroom Condo for sale at Athenee Residence ,"Lumphini, Pathum Wan,Bangkok",32000000,120,"Apr 26, 2023",6000,Condo,Completed,Jan 2008,2,3,10,City View,Fully Furnished,88200,https://www.fazwaz.com/property-sales/2-bedroom-condo-for-sale-at-athenee-residence-in-lumphini-bangkok-u1400388
1 Bedroom Condo for sale at The Address Siam-Ratchathewi ,"Thanon Phet Buri, Ratchathewi,Bangkok",6690000,35,"Apr 26, 2023",2275,Condo,Completed,Dec 2022,1,1,18,Blocked View,Partly Furnished,2275,https://www.fazwaz.com/property-sales/1-bedroom-condo-for-sale-at-the-address-siam-ratchathewi-in-thanon-phet-buri-bangkok-u1395706
1 Bedroom Condo for sale at Rhythm Charoenkrung Pavillion ,"Wat Phraya Krai, Bang Kho Laem,Bangkok",5390000,35,"Apr 26, 2023",1750,Condo,Off Plan,May 2023,1,1,32,"City View, Unblocked Open View",Partly Furnished,25000,https://www.fazwaz.com/property-sales/1-bedroom-condo-for-sale-at-rhythm-charoenkrung-pavillion-in-wat-phraya-krai-bangkok-u1395722
Studio Condo for sale at Lumpini Park Nawamin-Sriburapha ,"Nawamin, Bueng Kum,Bangkok",1185000,23,"Apr 26, 2023",N/A,Condo,Completed,Dec 2015,Studio,1,14,City View,Partly Furnished,Estimate rent is not available,https://www.fazwaz.com/property-sales/studio-condo-for-sale-at-lumpini-park-nawamin-sriburapha-in-nawamin-bangkok-u1395990
1 Bedroom Condo for sale at Quinn Condo Ratchada ,"Din Daeng, Din Daeng,Bangkok",4109700,35,"Apr 26, 2023",1400,Condo,Completed,Dec 2012,1,1,19,City View,Fully Furnished,14100,https://www.fazwaz.com/property-sales/1-bedroom-condo-for-sale-at-quinn-condo-ratchada-in-din-daeng-bangkok-u1400180
3 Bedroom Condo for sale at Belle Grand Rama 9 ,"Huai Khwang, Huai Khwang,Bangkok",13900000,97,"Apr 26, 2023",3395,Condo,Completed,Dec 2015,3,2,9,"Pool View, Blocked View",Fully Furnished,47200,https://www.fazwaz.com/property-sales/3-bedroom-condo-for-sale-at-belle-grand-rama-9-in-huai-khwang-bangkok-u1395678
2 Bedroom Condo for sale at Metris Pattanakarn - Ekkamai ,"Suan Luang, Suan Luang,Bangkok",6346313,54.38,"Apr 26, 2023",3535,Condo,Completed,Dec 2020,2,1,8,City View,Built In,24000,https://www.fazwaz.com/property-sales/2-bedroom-condo-for-sale-at-metris-pattanakarn-ekkamai-in-suan-luang-bangkok-u1400418
1 Bedroom Condo for sale at Ivy Thonglor ,"Khlong Tan Nuea, Watthana,Bangkok",6890000,42,"Apr 26, 2023",1890,Condo,Completed,Jan 2010,1,1,7,City View,Fully Furnished,29700,https://www.fazwaz.com/property-sales/1-bedroom-condo-for-sale-at-ivy-thonglor-in-khlong-tan-nuea-bangkok-u1399842
