lat,lng,property_name
13.723574,100.5393765,Sathorn Park Place 
13.818889,100.580862,Vino Ratchada 32 
13.7355892,100.5569719,FYNN Asoke Sukhumvit 10 
13.6748627,100.5990973,Bangna Residence 
13.681727,100.6096941,Ideo Mobi Sukhumvit 66 
13.7562914,100.5424251,Ratchaprarop Garden 
13.7057387,100.5145285,The Cube Urban Sathorn-Chan 
13.7920371,100.5474762,Maison De Ville 
13.731487,100.5737565,Mukda Mansion 
13.7609277,100.5497383,A Space Hideaway Asoke-Ratchada 
13.7161181,100.5309232,Sathorn Prime Residence by JC Kevin Sathorn Bangkok 
13.732944,100.580576,The Waterford Thonglor 11 
13.7281877,100.5720965,The Address Sukhumvit 28 
13.7614202,100.5053265,The 8 Collection 
13.7309518,100.5794538,Runesu Thonglor 5 
13.7193915,100.5121785,Citrine Sathorn-Taksin 
13.8126836,100.5252523,Fresh Condominium 
13.7652912,100.5481173,Mayfair Place Victory Monuments 
13.7229874,100.5670927,The Emporio Place 
13.839135,100.5825621,Elio Del Moss 
13.7891585,100.5805808,Humble Living @ Chintawet 
13.774004,100.610813,Baan Sukhothai Ramkhamhaeng 
13.7396245,100.543185,Urbana Langsuan [Leasehold] 
13.7087331,100.5382084,Baan Siri Sathorn Suanplu 
13.72008,100.7264486,iCondo Green Space Sukhumvit 77 Phase 1 
13.728856,100.476825,Ideo Thaphra Interchange 
13.6612197,100.6058711,Supalai City Resort Bearing Station Sukumvit 105 
13.8875385,100.6041347,Knightsbridge Sky City 
13.6893645,100.6027579,Regent Home 9 Sukhumvit 64 
13.7758337,100.5429748,Siamese Ratchakru 
13.7454355,100.549827,Craft Ploenchit 
13.7091201,100.6156022,The Origin Onnut 
13.7382553,100.5617989,Celes Asoke 
13.7182706,100.5900997,Condo One Sukhumvit 67 
13.7258453,100.5804401,Fifty Fifth Tower 
13.7833401,100.6234894,Lat Phrao Condotown 2 
13.7188057,100.4561352,Supalai Park Ratchaphruek-Phetkasem 
13.8284133,100.5660665,Wind Ratchayothin 
13.6614295,100.6068748,Notting Hill Sukhumvit 105 
