lat,lng,property_name,trainstation_name,trainstation_lat,trainstation_lng,subway_station_name,subway_station_lat,subway_station_lng,subway_station_distance_meter,train_station_distance_meter
13.6996597,100.5371801,Belle Park Residence,Mae Nam Railway Station,13.7139353,100.5536168,Surasak,13.719228,100.5215297,3921,3397
13.7329904,100.5726921,Ashton Residence 41,Asoke,13.749458,100.5638356,Phrom Phong,13.73042,100.5697,715,3340
13.8376743,100.5814735,Supalai Cute Ratchayothin - Phaholyothin 34,Bang Khen,13.8469567,100.5607095,Bang Bua,13.855994,100.585171,3210,4453
13.7416746,100.546935,98 Wireless,Makkasan,13.7536699,100.547394,Chit Lom,13.7440937,100.5430647,704,1847
13.7484269,100.5659145,Ideo Mobi Asoke,Asoke,13.749458,100.5638356,Phetchaburi,13.7487037,100.5631241,328,362
13.7484022,100.562828,Q Asoke,Asoke,13.749458,100.5638356,Phetchaburi,13.7487037,100.5631241,103,180
13.6623817,100.650054,Evergreen View Tower,Hua Mak,13.73805,100.6454302,N/A,"","",null,10546
13.7714562,100.5836714,Lumpini Ville Cultural Center,Sutthisan MRT Station,13.7898476,100.5741786,Huai Khwang,13.7785142,100.5736451,1902,3155
13.741023,100.5576678,The Trendy Condominium,Asoke,13.749458,100.5638356,Nana,13.740523,100.555434,405,1641
13.7348076,100.5215056,Park Origin Chula Samyan,Bangkok Train Station,13.7393362,100.5167954,Hua Lamphong,13.7378472,100.5171723,824,1028
13.7241538,100.5282926,The Ritz-Carlton Residences At MahaNakhon,Silom MRT Station,13.7293606,100.5378782,Sala Daeng BTS Station,13.7284782,100.5341135,1210,1445
13.7128036,100.4678668,The Tempo Grand Sathorn-Wutthakat,Khlong Ton Sai,13.7070086,100.4700048,Wutthakat,13.71307,100.46884,269,1237
13.8314488,100.5754463,Chateau In Town Major Ratchayothin 2,Bang Khen,13.8469567,100.5607095,Phahon Yothin,13.8142366,100.5601484,2838,4006
13.7023193,100.5990213,Residence 52,Sukhumvit 71,13.7429334,100.6004022,On Nut,13.7056546,100.6010035,592,6315
13.7136955,100.4670416,J Condo Sathorn - Kallaprapruk,Khlong Ton Sai,13.7070086,100.4700048,Wutthakat,13.71307,100.46884,226,1194
13.7878269,100.5041896,Bangkok River Marina,Bang Bamru Station,13.7916118,100.4777099,Bang Phlat,13.7924323,100.5050274,829,3358
13.721821,100.5267551,Silom Suite,Silom MRT Station,13.7293606,100.5378782,Surasak,13.719228,100.5215297,907,1891
13.6872636,100.606703,Sari by Sansiri,Sukhumvit 71,13.7429334,100.6004022,Punnawithi,13.689267,100.608987,439,8134
13.7173529,100.5305938,Quad Sathon,Silom MRT Station,13.7293606,100.5378782,Surasak,13.719228,100.5215297,1398,2398
13.7621407,100.5371527,Ideo Q Victory,Phaya Thai,13.7567379,100.5348422,Victory Monument,13.762793,100.537085,191,768
13.7987993,100.5761821,Rhythm Ratchada,Sutthisan MRT Station,13.7898476,100.5741786,Ratchadaphisek,13.7991493,100.5746134,202,1177
13.6654787,100.6041967,Ideo Mobi Sukhumvit Eastgate,Mae Nam Railway Station,13.7139353,100.5536168,Bang Na,13.668148,100.60467,432,10411
13.8949828,100.6119467,WynnCondo,Khan Keha Khomo Sipkao,13.8986083,100.5890182,N/A,"","",null,5852
13.7962392,100.5886515,The Niche Ladprao 48,Sutthisan MRT Station,13.7898476,100.5741786,N/A,"","",null,2252
13.7710648,100.614025,Chaya Villa,หจก.โชคพัฒนายุทธ,13.759029,100.616322,N/A,"","",null,1659
13.7196032,100.5621306,Life Rama 4 - Asoke,Mae Nam Railway Station,13.7139353,100.5536168,Queen Sirikit National Convention Centre,13.7231519,100.5601019,676,1491
13.7244622,100.5803761,Laviq Sukhumvit 57,Khlong Tan,13.744097,100.5896845,Ekkamai,13.7195166,100.5851075,843,3205
13.8412604,100.5486916,Baan Prachaniwet 1,Bang Khen,13.8469567,100.5607095,Wong Sawang,13.8298595,100.5264979,3643,2042
13.7294496,100.5716429,The Madison,Asoke,13.749458,100.5638356,Phrom Phong,13.73042,100.5697,305,2930
13.7524537,100.5348707,Ideo Q Siam-Ratchathewi,Phaya Thai,13.7567379,100.5348422,Ratchathewi,13.7519875,100.5315773,510,947
13.7251143,100.5747969,Tidy Deluxe Sukhumvit 34,Mae Nam Railway Station,13.7139353,100.5536168,Phrom Phong,13.73042,100.5697,1162,4065
13.8185865,100.679809,Blossom Condo@Fashion Altitude,หจก.โชคพัฒนายุทธ,13.759029,100.616322,N/A,"","",null,14521
13.6648923,100.6371263,Niche Mono Peak Bangna,Hua Mak,13.7381496,100.6401853,N/A,"","",null,9792
13.730239,100.5628926,Millennium Residence,Mae Nam Railway Station,13.7139353,100.5536168,Phrom Phong,13.73042,100.5697,1347,3035
13.8117375,100.6671876,Parc Exo Condominium,หจก.โชคพัฒนายุทธ,13.759029,100.616322,N/A,"","",null,10295
13.7386748,100.5652324,Walden Asoke Sukhumvit 23,Asoke,13.749458,100.5638356,Sukhumvit,13.7385266,100.5614475,778,1715
13.7119664,100.5468341,Lapa Place,Mae Nam Railway Station,13.7139353,100.5536168,Khlong Toei,13.7222992,100.5539149,1938,1823
13.802433,100.5808353,The Next Ladprao,Sutthisan MRT Station,13.7898476,100.5741786,Ratchadaphisek,13.7991493,100.5746134,3326,3985
13.8371824,100.6055801,Baan Pueng Luang,Thung Song Hong,13.8601924,100.5674111,N/A,"","",null,6984
13.6919108,100.6032697,The Unique Sukhumvit 62/1,Sukhumvit 71,13.7429334,100.6004022,Bang Chak,13.696738,100.605321,837,7655
13.7958813,100.5996527,Chewathai Hallmark Ladprao-Chokchai 4,Sutthisan MRT Station,13.7898476,100.5741786,N/A,"","",null,3787
13.7546154,100.5346653,Pathumwan Resort,Phaya Thai,13.7567379,100.5348422,Ratchathewi,13.7519875,100.5315773,546,466
13.7766526,100.5815915,G STYLE CONDO,Sutthisan MRT Station,13.7898476,100.5741786,Huai Khwang,13.7785142,100.5736451,1055,2308
13.6797874,100.6071209,Abstracts Sukhumvit 66/1,Mae Nam Railway Station,13.7139353,100.5536168,Udom Suk,13.6799216,100.6094882,340,9727
13.6979862,100.6067954,Casa Condo Sukhumvit 97,Sukhumvit 71,13.7429334,100.6004022,Bang Chak,13.696738,100.605321,420,6926
13.7972244,100.5851555,Groove Ratchada - Ladprao,Sutthisan MRT Station,13.7898476,100.5741786,Ratchadaphisek,13.7991493,100.5746134,2483,2061
13.7474902,100.5583741,Baan Siri Sukhumvit 13,Makkasan,13.7511902,100.5607675,Makkasan,13.7510295,100.5612129,2263,2224
13.8881237,100.6105056,The Origin Phahol - Saphanmai,Khan Keha Khomo Sipkao,13.8986083,100.5890182,N/A,"","",null,5581
13.7614609,100.6327185,Chewathai Ramkamhaeng,หจก.โชคพัฒนายุทธ,13.759029,100.616322,N/A,"","",null,1839
13.7005999,100.5164468,The Key Sathon-Charoen Rat,Wongwian Yai,13.7246069,100.4919321,N/A,"","",null,5693
13.7374228,100.5678526,Newland Condominium,Asoke,13.749458,100.5638356,Sukhumvit,13.7385266,100.5614475,1424,1946
13.7783517,100.5465974,SAVVI Phahol - Ari,Sam Sen,13.77945,100.53003,Ari,13.779689,100.544646,938,3250
13.7307227,100.5322962,Culture Chula,Silom MRT Station,13.7293606,100.5378782,Samyan,13.7323496,100.5299928,290,677
13.730524,100.5756169,49 Plus,Khlong Tan,13.744097,100.5896845,Phrom Phong,13.73042,100.5697,1266,2892
13.7178692,100.4538443,Chewathai Phetkasem 27,Khlong Ton Sai,13.7070086,100.4700048,Bang Wa,13.7203785,100.4571807,628,3693
13.7392542,100.5856948,Baan Chan,Khlong Tan,13.744097,100.5896845,Ramkhamhaeng,13.7429925,100.6001474,2322,1174
13.7794093,100.5759497,Amaranta Residence,Sutthisan MRT Station,13.7898476,100.5741786,Huai Khwang,13.7785142,100.5736451,380,1492
